snapshot pock_volume pock_asa pock_pol_asa pock_apol_asa pock_asa22 pock_pol_asa22 pock_apol_asa22 nb_AS mean_as_ray mean_as_solv_acc apol_as_prop mean_loc_hyd_dens hydrophobicity_score volume_score polarity_score charge_score prop_polar_atm as_density as_max_dst convex_hull_volume nb_abpa ALA ARG ASN ASP CYS GLN GLU GLY HIS ILE LEU LYS MET PHE PRO SER THR TRP TYR VAL
1 466.03 374.11 158.12 215.99 191.62 94.05 97.58 106 4.04 0.37 0.58 39.68 33.88 3.94 7 -1 38.46 5.05 12.51 48.27 4   0   0   0   2   1   1   0   1   0   0   3   1   2   1   0   1   2   0   0   1
2 438.32 309.28 98.60 210.68 91.46 43.47 47.98 93 3.91 0.41 0.56 39.12 36.00 4.31 7 -1 35.48 4.87 11.93 44.53 5   1   1   0   2   1   0   1   0   0   0   4   1   1   1   0   0   2   0   0   1
3 359.26 280.16 105.31 174.85 82.11 24.37 57.74 106 3.91 0.50 0.38 29.55 38.14 4.36 6 0 35.71 3.91 9.23 27.45 6   1   1   0   1   1   0   1   0   0   0   3   1   1   1   0   0   2   0   0   1
4 441.70 317.75 66.59 251.17 132.52 20.87 111.65 63 3.90 0.35 0.35 12.09 43.46 4.38 5 1 23.33 4.65 12.24 54.32 4   1   1   0   1   1   0   0   0   0   0   3   1   1   1   0   0   2   0   0   1
5 393.12 259.63 95.65 163.98 98.05 19.19 78.86 42 3.98 0.34 0.26 8.36 27.54 3.92 6 1 47.83 3.76 8.17 42.31 6   1   1   0   1   1   1   0   1   0   0   2   1   1   0   0   0   2   0   0   1
6 490.91 347.25 126.83 220.42 164.00 64.51 99.49 94 3.84 0.35 0.46 26.60 33.76 4.12 7 0 37.50 5.20 12.56 76.37 8   1   1   0   2   1   1   0   1   0   0   3   1   2   1   0   0   2   0   0   1
7 544.79 381.44 95.65 285.79 194.90 43.50 151.39 152 4.19 0.40 0.73 104.68 34.67 3.93 5 0 28.12 3.71 12.12 54.08 3   1   1   0   2   1   0   0   2   0   0   4   1   0   1   0   0   1   0   0   1
8 432.31 246.15 83.12 163.03 138.69 48.86 89.83 20 4.27 0.41 0.60 9.67 33.86 4.21 5 0 42.11 3.78 6.66 12.09 5   1   1   0   2   1   1   0   1   0   0   3   1   1   1   0   0   0   0   0   1
9 503.97 343.27 90.40 252.87 133.34 28.02 105.32 112 3.90 0.46 0.58 58.06 34.69 3.94 6 1 33.33 4.22 10.96 56.65 6   1   1   0   1   1   1   0   2   0   0   3   1   1   1   0   0   2   0   0   1
10 344.12 239.08 83.30 155.78 89.18 29.93 59.25 48 3.91 0.33 0.50 17.67 37.79 4.29 6 1 38.10 3.28 9.21 21.50 5   1   1   0   1   1   1   0   0   0   0   3   1   2   0   0   0   2   0   0   1
11 414.97 293.16 83.03 210.13 54.82 7.04 47.78 79 3.83 0.42 0.77 53.87 45.13 3.87 4 0 28.12 4.60 9.71 59.44 4   1   0   0   0   1   0   1   2   0   0   3   1   2   1   0   0   2   0   0   1
12 737.17 420.39 137.59 282.80 240.46 73.18 167.28 242 4.40 0.45 0.75 171.51 33.68 4.16 8 -1 33.33 3.68 12.83 67.93 8   1   1   0   2   1   1   1   1   0   0   4   1   2   1   0   0   2   0   0   1
13 530.70 395.03 128.17 266.87 121.69 31.36 90.33 145 3.93 0.36 0.87 97.90 43.41 4.06 5 1 26.47 5.18 11.32 76.49 2   1   1   0   1   1   0   0   2   0   1   3   1   2   1   0   0   2   0   0   1
14 485.19 336.66 104.24 232.42 73.09 15.65 57.44 126 3.90 0.36 0.80 84.91 34.35 3.94 6 0 34.38 4.93 11.80 64.50 8   1   1   0   2   1   0   0   2   0   0   3   1   2   1   0   0   2   0   0   1
15 522.47 374.64 148.28 226.36 185.38 62.66 122.72 88 4.02 0.39 0.77 42.15 33.76 4.12 7 0 38.71 5.19 12.35 73.99 6   1   1   0   2   1   1   0   1   0   0   3   1   2   1   0   0   2   0   0   1
16 452.77 269.41 89.15 180.25 170.94 50.43 120.51 71 4.16 0.42 0.66 40.89 34.00 4.08 5 1 40.00 2.39 9.21 27.77 6   1   1   0   1   1   1   0   1   0   0   3   1   1   0   0   0   1   0   0   1
17 507.92 407.92 123.59 284.33 170.75 55.68 115.08 78 3.89 0.38 0.88 41.62 37.47 4.05 7 0 32.35 5.02 13.80 127.45 6   2   1   0   2   1   1   0   1   0   0   4   1   2   1   0   0   2   0   0   1
18 445.54 403.09 106.43 296.66 91.57 22.66 68.91 80 3.83 0.35 0.74 37.19 34.00 4.07 6 0 25.81 5.89 11.93 35.27 4   1   1   0   2   1   0   0   1   0   0   3   1   1   1   0   0   2   0   0   1
19 563.76 406.44 137.66 268.79 160.65 41.85 118.80 154 4.00 0.39 0.64 64.65 30.12 4.00 7 0 34.29 4.98 13.32 68.53 4   1   1   1   2   1   0   0   1   0   0   3   1   1   1   0   0   2   0   0   1
20 571.22 432.33 112.01 320.32 174.14 40.05 134.09 115 3.98 0.40 0.59 52.12 33.76 4.12 7 0 30.30 4.12 12.73 78.39 6   1   1   0   2   1   1   0   1   0   0   3   1   2   1   0   0   2   0   0   1
