snapshot pock_volume pock_asa pock_pol_asa pock_apol_asa pock_asa22 pock_pol_asa22 pock_apol_asa22 nb_AS mean_as_ray mean_as_solv_acc apol_as_prop mean_loc_hyd_dens hydrophobicity_score volume_score polarity_score charge_score prop_polar_atm as_density as_max_dst convex_hull_volume nb_abpa ALA ARG ASN ASP CYS GLN GLU GLY HIS ILE LEU LYS MET PHE PRO SER THR TRP TYR VAL
26 186.69 113.58 37.50 76.08 54.39 10.43 43.96 18 3.78 0.40 0.17 1.33 32.12 4.00 4 0 41.67 2.41 5.22 3.00 3   1   0   0   1   0   0   0   0   0   0   2   1   1   0   0   0   2   0   0   0
27 572.28 283.05 110.36 172.69 158.53 78.25 80.28 30 4.15 0.34 0.70 16.19 36.00 4.13 6 0 27.27 4.89 11.46 29.62 0   1   1   0   2   0   0   0   1   0   0   4   1   1   1   0   1   1   0   0   1
28 332.87 258.25 87.97 170.28 144.78 43.47 101.30 53 3.88 0.46 0.62 28.24 35.00 3.83 5 0 40.00 2.74 10.11 6.88 3   1   0   0   1   0   1   0   1   0   0   3   1   1   0   0   0   2   0   0   1
29 507.04 341.24 130.02 211.22 185.25 78.54 106.71 56 3.91 0.40 0.75 29.52 32.53 3.80 6 -1 37.04 4.48 11.09 35.21 3   1   0   0   2   1   1   0   1   0   0   3   1   2   0   0   0   2   0   0   1
30 357.05 260.48 44.20 216.28 127.44 6.96 120.49 34 3.83 0.31 0.88 16.00 56.46 4.31 3 0 23.81 5.18 12.58 24.54 3   1   0   0   1   1   0   0   0   0   0   5   1   2   0   0   0   1   0   0   1
31 273.68 211.46 69.71 141.75 152.47 40.02 112.45 32 4.30 0.51 0.44 8.00 39.50 3.70 4 -1 40.00 2.06 5.89 1.89 2   1   0   0   1   1   1   0   0   0   0   2   0   1   0   0   0   2   0   0   1
32 614.10 406.73 122.50 284.23 255.83 68.05 187.78 48 3.98 0.35 0.65 14.77 46.00 4.47 6 1 31.03 6.21 12.46 85.79 3   1   1   1   1   1   1   0   0   0   0   5   1   2   1   0   0   1   0   0   1
33 348.49 302.15 90.22 211.93 130.69 34.95 95.74 64 3.85 0.48 0.91 28.07 44.79 4.00 4 0 30.77 5.49 10.86 45.34 2   1   0   0   1   1   1   0   1   0   0   4   1   2   0   0   0   1   0   0   1
34 407.54 295.10 107.57 187.54 224.99 67.99 157.00 28 4.44 0.37 0.86 17.50 34.73 3.73 4 0 33.33 1.83 9.10 4.68 1   1   0   0   1   1   1   0   1   0   0   3   1   0   0   0   0   1   0   0   1
35 422.86 301.30 80.36 220.94 143.61 41.74 101.87 39 3.86 0.33 0.74 14.62 47.36 4.14 5 0 27.27 5.56 12.03 44.01 2   1   0   0   1   1   1   0   0   0   0   5   1   1   0   0   0   2   0   0   1
36 134.82 110.72 22.57 88.16 79.44 8.72 70.72 5 4.01 0.43 0.60 2.00 51.12 3.75 2 0 40.00 2.32 4.04 0.00 4   1   0   0   0   0   1   0   1   0   0   3   0   1   0   0   0   1   0   0   0
